{'tip': '小贴士：谜底要顿读作“书生，气十足”。“书生”别解为“对书本陌生”。', 'mystery': '谜面：课文背不出怒火满腹 （打五字口语）', 'answer': '谜底：书生气十足'}
{'tip': '小贴士：谜底别解为“不露出谜面”，反扣谜面。', 'mystery': '谜面：只见谜底 （打三字口语）', 'answer': '谜底 （打三字口语）'}
{'tip': '小贴士：谜底别解为“白天忙活”。', 'mystery': '谜面：日出而作 （打三字俗语）', 'answer': '谜底：白忙活'}
{'tip': '小贴士：谜底别解为“将10分成三七两份很满意”。', 'mystery': '谜面：三七开足矣 （打四字常言）', 'answer': '谜底：十分满意'}
{'tip': '小贴士：谜底中的“翻”别指“翻译员”。', 'mystery': '谜面：译员是个生面孔 （打五字俗语）', 'answer': '谜底：翻脸不认人'}
{'tip': '小贴士：谜底别解为“不说得闲”之类的话，反扣谜面。', 'mystery': '谜面：张嘴闭嘴总是忙 （打四字常用语）', 'answer': '谜底：不说闲话'}
{'tip': '小贴士：“一无所获”扣“不得”，“错”意扣“有误”。', 'mystery': '谜面：一无所获铸成错 （打四字常言）', 'answer': '谜底：不得有误'}
{'tip': '小贴士：“顾”别解为“看”。', 'mystery': '谜面：坐井观天 （打五字俗语）', 'answer': '谜底：顾不了许多'}
{'tip': '小贴士：谜底别解为“始终不穿衣服”。', 'mystery': '谜面：赤条条来，赤条条去 （打四字常言俗语）', 'answer': '谜底：始终不服'}
{'tip': '小贴士：“兄弟”又称“手足”。', 'mystery': '谜面：结拜兄弟 （打三字俗语）', 'answer': '谜底：做手脚'}
{'tip': '小贴士：谜底别解为“贪图小便方便”。', 'mystery': '谜面：阴僻之处可撒尿 （打4字俗语）', 'answer': '谜底：贪小便宜'}
{'tip': '小贴士：凸透镜能聚焦光线从而看到放大的虚像，故谜底为此。', 'mystery': '谜面：凸透镜中的世界 （打一7字口头用语）', 'answer': '谜底：没什么大不了的'}
{'tip': '小贴士：谜底别解为“这人老了就是这个样子”。', 'mystery': '谜面：银花跚步龙钟态 （打六字口语）', 'answer': '谜底：这个老是这样'}
{'tip': '小贴士：“老爱”别解为“老情人”，会意“初恋”。', 'mystery': '谜面：初恋情人今相会 （打五字俗语）', 'answer': '谜底：老爱在一起'}
{'tip': '小贴士：“一点”别解为“一盏点着的灯”。', 'mystery': '谜面：寒夜黯然守孤灯 （打四字口语）', 'answer': '谜底：冷静一点'}
{'tip': '小贴士：下着细雨，伴着斜风，雨点肯定是歪的；下不停，扣“总出”。', 'mystery': '谜面：斜风细雨下不停 （打五字口语）', 'answer': '谜底：总出歪点子'}
{'tip': '小贴士：“白”别解为“说”。', 'mystery': '谜面：白云千里万里 （打四字俗语）', 'answer': '谜底：说来话长'}
{'tip': '小贴士：谜底别解为“划船得来”。', 'mystery': '谜面：龙舟金牌 （打三字俗语）', 'answer': '谜底：划得来'}
{'tip': '小贴士：“何”别解为“何仙姑”。', 'mystery': '谜面：仙姑出嫁 （打三字俗语）', 'answer': '谜底：何许人'}
{'tip': '小贴士：古时主位在东，客位在西，故以“东西”扣“主客”。', 'mystery': '谜面：主要与客两相忘 （打四字常言俗语）', 'answer': '谜底：糊涂东西'}
{'tip': '小贴士：谜底别解为“不知商品的好坏”。', 'mystery': '谜面：未检产品 （打七字俗语）', 'answer': '谜底：不知好歹的东西'}
{'tip': '小贴士：“数”别解为“数字”。', 'mystery': '谜面：一五一十道来 （打四字口语）', 'answer': '谜底：说话算数'}
{'tip': '小贴士：“派头”别解为“帮派的头目”。', 'mystery': '谜面：帮主年岁已高 （打四字常言）', 'answer': '谜底：派头不小'}
{'tip': '小贴士：“算数”，别指“算账”。', 'mystery': '谜面：财会人员汇报工作 （打四字口语）', 'answer': '谜底：说话算数'}
{'tip': '小贴士：“栽”，失败、倒霉。', 'mystery': '谜面：义务植树，人人有责 （打五字俗语）', 'answer': '谜底：不得不认栽'}
{'tip': '小贴士：谜底应顿读作“万万使，不得”。', 'mystery': '谜面：花费上亿一无所获 （打五字俗语）', 'answer': '谜底：万万使不得'}
{'tip': '小贴士：“算”别解为“算账”。', 'mystery': '谜面：逐日结账 （打六字俗语）', 'answer': '谜底：过一天算一天'}
{'tip': '小贴士：“福”，别指“发福”。', 'mystery': '谜面：体渐发胖犹未觉 （打七字俗语）', 'answer': '谜底：身在福中不知福'}
{'tip': '小贴士：“用心”扣“想”。谜底反扣谜面。', 'mystery': '谜面：不用心就关着 （打四字俗语）', 'answer': '谜底：想得出来'}
{'tip': '小贴士：“主”别指“君主”。', 'mystery': '谜面：君心难测 （打五字口语）', 'answer': '谜底：拿不定主意'}
{'tip': '小贴士：谜底别解为“是个人的物品”，反扣谜面。', 'mystery': '谜面：并非公有财产 （打四字口语）', 'answer': '谜底：是个人物'}
{'tip': '小贴士：“丑”，别解为“丑角”，一般扮演插科打诨比较滑稽的角色。', 'mystery': '谜面：喜剧演员开场白 （打六字俗语）', 'answer': '谜底：丑话说在前头'}
{'tip': '小贴士：“一”，别解为“第一”，即冠军。', 'mystery': '谜面：夺冠无望 （打一俗语）', 'answer': '谜底：一将难求'}
{'tip': '小贴士：“突发”，别解为“突然发财”。', 'mystery': '谜面：一心想暴富 （打四字常言）', 'answer': '谜底：突发奇想'}
{'tip': '小贴士：“容易”别解为“易容之术”。', 'mystery': '谜面：化妆竞赛 （打四字俗语）', 'answer': '谜底：比较容易'}
{'tip': '小贴士：“衔”字的外面是个“行”字。', 'mystery': '谜面：衔 （打二字俗语）', 'answer': '谜底：外行'}
{'tip': '小贴士：“信”，别指“韩信”。', 'mystery': '谜面：胯下之辱 （打三字常言）', 'answer': '谜底：信得过'}
{'tip': '小贴士：谜底别解为“埋怨话多”。', 'mystery': '谜面：嫌人啰嗦 （打四字俗语）', 'answer': '谜底：怪话连篇'}
{'tip': '小贴士：“穿”，别指“衣服”。', 'mystery': '谜面：参观时装勿讨论 （打五字俗语）', 'answer': '谜底：看穿别说穿'}
{'tip': '小贴士：东西南北常常连称，谜面缺“北”。', 'mystery': '谜面：寻了半天只见“东、西、南” （打四字俗语）', 'answer': '谜底：找不着北'}
{'tip': '小贴士：“慈”，母亲。', 'mystery': '谜面：后妈伤心 （打三字俗语）', 'answer': '谜底：假慈悲'}
{'tip': '小贴士：“古”扣“老”，“生物”别解为“不死的东西”。', 'mystery': '谜面：古生物 （打六字俗语）', 'answer': '谜底：老不死的东西'}
{'tip': '小贴士：“沉着”别解为“下沉潜水的着衣”。', 'mystery': '谜面：潜水衣要改进 （打四字常言俗语）', 'answer': '谜底：沉着应对'}
{'tip': '小贴士：“从”字的前头有个“人”，才能出“众”字。', 'mystery': '谜面：从前有个人 （打四字常言）', 'answer': '谜底：才能出众'}
{'tip': '小贴士：“故”字与“人”字合为“做”；“秀”，表演，扣“有演意”；合为“做秀”。', 'mystery': '谜面：故人相逢有演意 （打二字俗语）', 'answer': '谜底：做秀'}
{'tip': '小贴士：“空”扣“白”，徒、枉自；“万贯家财”扣“富”，“好脸蛋”扣“美”。', 'mystery': '谜面：空有万贯家财好脸蛋 （打三字俗语）', 'answer': '谜底：白富美'}
{'tip': '小贴士：“面”同“颜”，“值”同“价”，“贵”扣“高”。', 'mystery': '谜面：面价很贵 （打三字俗语）', 'answer': '谜底：颜值高'}
{'tip': '', 'mystery': '谜面：阴阳合同 （打八字俗语）', 'answer': '谜底：当面一套、背后一套'}
{'tip': '小贴士：“扯”扣“拉”，“十里八里”扣“远”。', 'mystery': '谜面：十里八里拉客回 （打三字俗语）', 'answer': '谜底：扯得远'}
{'tip': '小贴士：谜底别解为“高的、大的上位”，反扣谜面。', 'mystery': '谜面：矮的小的请靠边 （打三字俗语）', 'answer': '谜底：高大上'}
{'tip': '小贴士：谜底别解为“小心你的眼睛”。', 'mystery': '谜面：谨防近视 （打三字俗语）', 'answer': '谜底：小心眼'}
{'tip': '小贴士：“干”“活”分别是“做”和“生”的意思。', 'mystery': '谜面：干活 （打三字商业俗语）', 'answer': '谜底：做生意'}
{'tip': '小贴士：海口，别称“椰城”。', 'mystery': '谜面：为椰城点一赞 （打四字俗语）', 'answer': '谜底：夸下海口'}
{'tip': '小贴士：“尖”的顶部为“小”，“多半”即“大半”。', 'mystery': '谜面：为了顶尖，损了多半 （打四字俗语）', 'answer': '谜底：因小失大'}
{'tip': '小贴士：“备”，别指“刘备”。', 'mystery': '谜面：曹孟德煮酒论英雄 （打四字俗语）', 'answer': '谜底：备受赞赏'}
{'tip': '小贴士：“项”，别指楚霸王项羽。', 'mystery': '谜面：用心侍候楚霸王 （打四字俗语）', 'answer': '谜底：注意事项'}
{'tip': '小贴士：谜面言外之意就是“打，肯定是主子的主意”。', 'mystery': '谜面：奴才怎会擅自动手 （打四字常言俗语）', 'answer': '谜底：打定主意'}
