{'tip': '小贴士：“原”字的中间“白”与“一”组合，可成“百”字。“集中”意扣“合”。', 'mystery': '谜面：一到中原就集中 （打二字中药）', 'answer': '谜底：百合'}
{'tip': '小贴士：“杜”别指“杜绝”，扣“不生”，“仲”别解为“第二”。', 'mystery': '谜面：不生二胎 （打二字中药名）', 'answer': '谜底：杜仲'}
{'tip': '小贴士：“术”字的笔画顺序为“横竖撇捺点”。', 'mystery': '谜面：谈谈横竖撇捺点 （打二字中药）', 'answer': '谜底：白术'}
{'tip': '小贴士：“街”字的中间为“圭”，与“大”组合成“奎”。“静悄悄”暗示“宁”的字义。', 'mystery': '谜面：大街之中静悄悄 （打二字西药）', 'answer': '谜底：奎宁'}
{'tip': '小贴士：“黄”，别指“黄叶”。', 'mystery': '谜面：无边落木萧萧下 （打三字中成药）', 'answer': '谜底：黄连片'}
{'tip': '小贴士：“虚”字的中心为“七”。', 'mystery': '谜面：虚心虚心再虚心 （打二字中药名）', 'answer': '谜底：三七'}
{'tip': '', 'mystery': '谜面：省城昆明话膏丹 （打四字中成药）', 'answer': '谜底：云南白药'}
{'tip': '小贴士：“丁”，别解为“男子”。', 'mystery': '谜面：一男一女都戴帽 （打二字西药名）', 'answer': '谜底：安宁'}
{'tip': '小贴士：“草”，草包；“果”，结果，扣“下场”。', 'mystery': '谜面：鲁莽的下场 （打二字中药名）', 'answer': '谜底：草果'}
{'tip': '小贴士：谜底别解为“请求无结果”。', 'mystery': '谜面：请示无下文 （打二字中药名一）', 'answer': '谜底：白求'}
{'tip': '小贴士：“商”别解为“商数”，数学上指除法运算中的得数。', 'mystery': '谜面：三十除以五 （打二字中药名一）', 'answer': '谜底：商陆'}
{'tip': '小贴士：谜底别解为“通通是草包”。', 'mystery': '谜面：一群废物 （打中药名一）', 'answer': '谜底：通草'}
{'tip': '小贴士：“出名”扣“红”，走红；“乱性”扣“花”，不忠贞。', 'mystery': '谜面：出名就乱性 （打二字中药名）', 'answer': '谜底：红花'}
{'tip': '小贴士：谜面是个人修身的崇高境界，哪怕没有别人监督，也不随意乱来。', 'mystery': '谜面：慎独慎微 （打二字中药名）', 'answer': '谜底：防己'}
{'tip': '小贴士：谜底别解为“天子麻木了”。', 'mystery': '谜面：皇上醉酒 （打二字中药名）', 'answer': '谜底：天麻'}
{'tip': '小贴士：谜底别解为“四川宝贝”。', 'mystery': '谜面：成都娃儿 （打二字中药名一）', 'answer': '谜底：川贝'}
{'tip': '小贴士：谜底别解为“甘于做草包”。', 'mystery': '谜面：但愿生子愚且鲁 （打二字中药名一）', 'answer': '谜底：甘草'}
{'tip': '小贴士：出访结束，当归来。', 'mystery': '谜面：出访结束 （打二字中药名）', 'answer': '谜底：当归'}
{'tip': '小贴士：“白”，别解为“说”。', 'mystery': '谜面：说话方法 （打二字中药名一）', 'answer': '谜底：白术'}
{'tip': '小贴士：“白”字义为“说”。', 'mystery': '谜面：语言技巧 （打二字中药名）', 'answer': '谜底：白术'}
{'tip': '小贴士：谜底中的“果”别指“效果”。', 'mystery': '谜面：言之有效 （打二字中药名）', 'answer': '谜底：白果'}
{'tip': '小贴士：“园”字打开是一“元”，“优惠20%”后剩下“八角”。', 'mystery': '谜面：开园优惠20% （打二字中药名）', 'answer': '谜底：八角'}
{'tip': '小贴士：谜底别解为“苦苦参（can）奏”之意。（作者注）', 'mystery': '谜面：费尽心思上奏章 （打二字中药名）', 'answer': '谜底：苦参'}
{'tip': '小贴士：出嫁又称“于归”，谜底取“应当于归”之意。（作者注）', 'mystery': '谜面：女子年届婚龄 （打二字中药名）', 'answer': '谜底：当归'}
{'tip': '小贴士：苏轼，昵称“苏子”，字东坡居士。（作者注）', 'mystery': '谜面：东坡居士 （打二字中药名）', 'answer': '谜底：苏子'}
{'tip': '小贴士：谜底别解为“结合有欢乐”，反扣谜面。', 'mystery': '谜面：离愁别恨 （打二字中药名）', 'answer': '谜底：合欢'}
{'tip': '小贴士：“香”，借指“花”。', 'mystery': '谜面：天花乱坠 （打二字中药）', 'answer': '谜底：降香'}
{'tip': '小贴士：谜底别解为“苍老之术”。', 'mystery': '谜面：老办法 （打二字中药名）', 'answer': '谜底：苍术'}
{'tip': '小贴士：“乌”，义为黑色。', 'mystery': '谜面：头上青丝如墨染 （打二字中药名）', 'answer': '谜底：首乌'}
{'tip': '小贴士：“使君子”，反扣谜面之意。', 'mystery': '谜面：小人勿用 （打三字中药）', 'answer': '谜底：使君子'}
{'tip': '小贴士：“陈”，别解为“叙述”。', 'mystery': '谜面：肤浅之谈 （打二字中药名）', 'answer': '谜底：陈皮'}
{'tip': '小贴士：“香”，借指“花”。', 'mystery': '谜面：夜深花睡去 （打三字药品）', 'answer': '谜底：安息香'}
{'tip': '小贴士：“真虚”二字的中心分别是“三七”。', 'mystery': '谜面：真虚心 （打二字中药）', 'answer': '谜底：三七'}
{'tip': '小贴士：“我”与“己”相扣；“宋”字南部为“木”；合为“杞”字。“残棋”、“半局”分别取“木”、“句”，合为“枸”。', 'mystery': '谜面：我南宋只剩残棋半局 （打二字中药）', 'answer': '谜底：枸杞'}
{'tip': '小贴士：谜底别解为“变白之术”。', 'mystery': '谜面：去黑方法 （打二字中药）', 'answer': '谜底：白术'}
{'tip': '小贴士：“创”，别解为“创造”。', 'mystery': '谜面：发明纸片黏合剂 （打三字外科用药）', 'answer': '谜底：创可贴'}
{'tip': '小贴士：“真”字的中心为“三”，“虚”字的中心为“七”。', 'mystery': '谜面：真心与虚心 （打二字中药名）', 'answer': '谜底：三七'}
{'tip': '小贴士：“妇女节”即三月八日，前一天为“三七”。', 'mystery': '谜面：妇女节前一天 （打二字中草药）', 'answer': '谜底：三七'}
{'tip': '小贴士：“三七”相乘，即为“二十一”。', 'mystery': '谜面：两字相乘二十一 （打二字中药）', 'answer': '谜底：三七'}
{'tip': '小贴士：“休一日”三字重新调整，可成“杏仁”二字。', 'mystery': '谜面：调休一日 （中药）', 'answer': '谜底：杏仁'}
{'tip': '小贴士：“二十”别解为两个“十”，即“十十”，与“约”组合可为“药”字。“出头”别解为“出”字的头部，取“山”。', 'mystery': '谜面：约二十出头 （打二字中药名）', 'answer': '谜底：山药'}
{'tip': '小贴士：谜底“当归”别解为“应当归还”。', 'mystery': '谜面：拾金不昧 （打二字药品名）', 'answer': '谜底：当归'}
{'tip': '', 'mystery': '谜面：言行处处要检点 （打一中药名）', 'answer': '谜底：广防己'}
{'tip': '', 'mystery': '谜面：红十字会 （打一中草药名）', 'answer': '谜底：九一丹'}
{'tip': '', 'mystery': '谜面：常伴诗书 （打一中药名）', 'answer': '谜底：芸香草'}
{'tip': '', 'mystery': '谜面：你站起来 （打一中草药）', 'answer': '谜底：枸杞'}
{'tip': '', 'mystery': '谜面：荷香透肺腑 （打一中药名）', 'answer': '谜底：穿心莲'}
{'tip': '小贴士：土者，地也；皇帝者，龙之天子也。', 'mystery': '谜面：土皇帝 （打二字中药）', 'answer': '谜底：地龙'}
{'tip': '', 'mystery': '谜面：警惕家人 （打一中药）', 'answer': '谜底：防己'}
{'tip': '', 'mystery': '谜面：百岁老人 （打一中药名）', 'answer': '谜底：白头翁'}
{'tip': '', 'mystery': '谜面：车子开错路 （打一药物）', 'answer': '谜底：白花油'}
{'tip': '', 'mystery': '谜面：天天向上 （打一中药名）', 'answer': '谜底：连翘'}
{'tip': '', 'mystery': '谜面：织女之夫 （打一中药名）', 'answer': '谜底：牵牛'}
{'tip': '', 'mystery': '谜面：酸甜苦辣咸 （打一中药名）', 'answer': '谜底：五味子'}
{'tip': '', 'mystery': '谜面：电灯开关 （猜一西药名）', 'answer': '谜底：可拉明'}
{'tip': '', 'mystery': '谜面：杜鹃啼血 （打一中药）', 'answer': '谜底：红花'}
{'tip': '', 'mystery': '谜面：妇女节前夕 （打一中草药）', 'answer': '谜底：三七'}
{'tip': '', 'mystery': '谜面：三九时节 （打一中草药名）', 'answer': '谜底：天冬'}
{'tip': '', 'mystery': '谜面：天府之宝 （打一中药名）', 'answer': '谜底：川贝'}
{'tip': '', 'mystery': '谜面：大事不糊涂 （打一中药名）', 'answer': '谜底：小通草'}
{'tip': '', 'mystery': '谜面：山中无老虎 （打二中药名）', 'answer': '谜底：当归，猴头'}
{'tip': '', 'mystery': '谜面：梦里不知身是客 （中药名二）', 'answer': '谜底：安息香，当归'}
{'tip': '', 'mystery': '谜面：飞雪满魁催客老，乱花入眼对儿盈。 （中药名二）', 'answer': '谜底：白头翁，苍耳子'}
{'tip': '', 'mystery': '谜面：海峡两岸同是龙的传人 （中药名二）', 'answer': '谜底：黄连，一条根'}
{'tip': '', 'mystery': '谜面：兰桂齐芳 （中药名二）', 'answer': '谜底：双花，合香'}
{'tip': '', 'mystery': '谜面：九龄已老韩休死 （药名冠产地）', 'answer': '谜底：朝鲜人参'}
{'tip': '', 'mystery': '谜面：老夫犹作伏枥吟 （中药名二）', 'answer': '谜底：白头翁，远志'}
{'tip': '', 'mystery': '谜面：琉璃世界白雪红梅 （中药名二）', 'answer': '谜底：冰片，双花'}
{'tip': '', 'mystery': '谜面：九州天下同庆贺 （中药名二）', 'answer': '谜底：大黄，合欢'}
{'tip': '', 'mystery': '谜面：东方大盗 （中药名）', 'answer': '谜底：木贼'}
{'tip': '', 'mystery': '谜面：入暮雪纷飞 （中药名二）', 'answer': '谜底：夜交，白降'}
{'tip': '', 'mystery': '谜面：与尔同销万古愁 （中药名二）', 'answer': '谜底：合欢，忘忧'}
{'tip': '', 'mystery': '谜面：茕茕孑立，形影相吊。 （中药名）', 'answer': '谜底：独活'}
{'tip': '', 'mystery': '谜面：人造革 （中药名）', 'answer': '谜底：象皮'}
{'tip': '', 'mystery': '谜面：二十六 （中药名二）', 'answer': '谜底：五加，三七'}
{'tip': '', 'mystery': '谜面：太公出世 （中药名）', 'answer': '谜底：生姜'}
{'tip': '', 'mystery': '谜面：老蚌生珠 （打一中草药名）', 'answer': '谜底：附子'}
{'tip': '', 'mystery': '谜面：有言在先 （中药名）', 'answer': '谜底：白前'}
{'tip': '', 'mystery': '谜面：人到暮年倍思乡 （中药名二）', 'answer': '谜底：白头翁，怀生地'}
{'tip': '', 'mystery': '谜面：白了少年头 （中药名二）', 'answer': '谜底：童便，苍耳'}
{'tip': '', 'mystery': '谜面：取暖费 （中药名）', 'answer': '谜底：款冬花'}
{'tip': '', 'mystery': '谜面：女大夫 （中药名）', 'answer': '谜底：瓦松'}
{'tip': '', 'mystery': '谜面：重上九霄炼仙丹 （中药名）', 'answer': '谜底：回天再造丸'}
{'tip': '', 'mystery': '谜面：江西老表 （中药名二）', 'answer': '谜底：水连，陈皮'}
{'tip': '', 'mystery': '谜面：女儿乐 （中草药名二）', 'answer': '谜底：千金子，合欢'}
{'tip': '', 'mystery': '谜面：十分红 （中药名）', 'answer': '谜底：九一丹'}
{'tip': '', 'mystery': '谜面：吾日三省吾身 （中药名二）', 'answer': '谜底：防己，松节'}
{'tip': '', 'mystery': '谜面：一派升平好景象 （西药名）', 'answer': '谜底：安宁片'}
{'tip': '', 'mystery': '谜面：马上上榻 （中药名）', 'answer': '谜底：蛇床'}
{'tip': '', 'mystery': '谜面：日出昆岗 （中药名）', 'answer': '谜底：阳起石'}
{'tip': '', 'mystery': '谜面：三步一岗，五步一哨。 （中药名）', 'answer': '谜底：卡密'}
{'tip': '', 'mystery': '谜面：桃花尽日随流水 （中药名二）', 'answer': '谜底：香附，泽泻'}
{'tip': '', 'mystery': '谜面：江波深处魂长埋 （中药名）', 'answer': '谜底：水安息'}
{'tip': '', 'mystery': '谜面：大李小李和老李 （中药名二）', 'answer': '谜底：木通，附子'}
{'tip': '', 'mystery': '谜面：三元一串，看似连珠。 （中药名）', 'answer': '谜底：胆星'}
{'tip': '', 'mystery': '谜面：一枝红杏出墙来 （中药名）', 'answer': '谜底：闹场花'}
{'tip': '', 'mystery': '谜面：绕树三匝 （中药名）', 'answer': '谜底：鸟不宿'}
{'tip': '', 'mystery': '谜面：三笑 （中药名连量）', 'answer': '谜底：一两合欢'}
{'tip': '', 'mystery': '谜面：添八加十变二十 （中药名）', 'answer': '谜底：苏叶'}
{'tip': '', 'mystery': '谜面：十月十日 （中药名）', 'answer': '谜底：合萌'}
{'tip': '', 'mystery': '谜面：匿携西子隐太湖 （中药名二）', 'answer': '谜底：蠡实，兜纳香'}
{'tip': '', 'mystery': '谜面：东风第一枝 （中药名）', 'answer': '谜底：梅露'}
{'tip': '', 'mystery': '谜面：问渠那得清如许 （中药名）', 'answer': '谜底：活力源'}
{'tip': '', 'mystery': '谜面：大开绿灯 （中药名）', 'answer': '谜底：路路通'}
{'tip': '', 'mystery': '谜面：东坡居士 （中药名）', 'answer': '谜底：苏子'}
{'tip': '', 'mystery': '谜面：发言不打稿 （中药名二）', 'answer': '谜底：白前，草乌'}
{'tip': '', 'mystery': '谜面：几番盼望游旧地 （中药名二）', 'answer': '谜底：连翘，当归'}
{'tip': '', 'mystery': '谜面：出言肤浅 （中药名）', 'answer': '谜底：陈皮'}
{'tip': '', 'mystery': '谜面：日日携壶上翠微 （中药名）', 'answer': '谜底：常山饮'}
{'tip': '', 'mystery': '谜面：天上一轮才捧出 （中药名）', 'answer': '谜底：正露丸'}
{'tip': '', 'mystery': '谜面：人大心不静 （中药名）', 'answer': '谜底：小儿安'}
{'tip': '', 'mystery': '谜面：鼎足之势 （中药名）', 'answer': '谜底：三分三'}
{'tip': '', 'mystery': '谜面：都竖大拇指 （打一中草药名）', 'answer': '谜底：连翘'}
{'tip': '', 'mystery': '谜面：东连吴会 （中药名）', 'answer': '谜底：苏木'}
{'tip': '', 'mystery': '谜面：七分 （中药名）', 'answer': '谜底：六一散'}
{'tip': '', 'mystery': '谜面：言必有果 （中药名）', 'answer': '谜底：云实'}
{'tip': '', 'mystery': '谜面：眼看来到五月中，佳人买纸糊窗棂，丈夫服役三年整，一封书信半字空。 （打四味中药）', 'answer': '谜底：半夏、防风、当归、白芷'}
{'tip': '', 'mystery': '谜面：可与人言无二三 （中药名二）', 'answer': '谜底：硼砂，没石'}
