{'tip': '小贴士：“显示”：“示”字旁即“礻”，“上海”简称“申”，合为“神”，“连日”扣“田”，加上“雨”为“雷”字，合为“雷神”。', 'mystery': '谜面：显示上海连日有雨 （打一电影名）', 'answer': '谜底：雷神'}
{'tip': '小贴士：“扒手去”别解为“扒”字去掉“手”，余下“八”；“宿舍前面”别解为“宿”字舍去前半部分“宀”，留下“佰”。', 'mystery': '谜面：扒手去宿舍前面 （打二字电影）', 'answer': '谜底：八佰'}
{'tip': '小贴士：李时珍又被称为“药神”。', 'mystery': '谜面：被错认成李时珍 （打四字电影名）', 'answer': '谜底：我不是药神'}
{'tip': '小贴士：“减负”符号扣“一一”。', 'mystery': '谜面：减负 （打二字台湾电影名）', 'answer': '谜底：一一'}
{'tip': '小贴士：“邻”字的东部迁出，剩下“令”；“恬静”二字的前头分别为“忄青”。谜面可“陈”列出“情”与“令”。', 'mystery': '谜面：东邻迁出始恬静 （打三字电视剧名）', 'answer': '谜底：陈情令'}
{'tip': '小贴士：“众”由三个“人”构成，看哪一个都不差，意即都“行”。', 'mystery': '谜面：观众都不差 （打三字电影）', 'answer': '谜底：三人行'}
{'tip': '小贴士：“亮”扣“显示”；“剑”，武器，简称“器”。', 'mystery': '谜面：显示器 （打二字电影名）', 'answer': '谜底：亮剑'}
{'tip': '小贴士：“牡丹”指牡丹花，谜底以“花”代指。“畔”字的一边，取“田”。“结良缘”示意为“喜事”。', 'mystery': '谜面：牡丹畔边结良缘 （打四字电影）', 'answer': '谜底：花田喜事'}
{'tip': '小贴士：“春夜”暗示“春”字没了“日”，剩下“三人”。“游”与“行”相呼应。', 'mystery': '谜面：春夜游 （打三字电影名）', 'answer': '谜底：三人行'}
{'tip': '小贴士：贾蓉、贾兰分别是《红楼梦》中人物贾珍、贾珠的独子。', 'mystery': '谜面：贾蓉贾兰皆独子 （打四字电视剧名）', 'answer': '谜底：珍珠传奇'}
{'tip': '小贴士：“万”是五位数。', 'mystery': '谜面：报酬五位数，趋之若鹜 （打四字电影）', 'answer': '谜底：万有引力'}
{'tip': '小贴士：谜底中的“珠”，别指“眼睛”，“还珠”应理解为“回转眼睛”，与谜面中“回眸”之意相通。“哥哥”喊起来的音与“格格”相似。', 'mystery': '谜面：回眸一笑喊哥哥 （打四字电视剧名）', 'answer': '谜底：还珠格格'}
{'tip': '小贴士：“伯仲”，指兄弟的次第，亦代称“兄弟”。', 'mystery': '谜面：不分伯仲 （打三字影视剧）', 'answer': '谜底：兄弟连'}
{'tip': '小贴士：“无间”别解为“没有房子”，“一二”相加得“三”。', 'mystery': '谜面：为啥没有房子，定要说个一二 （打一电影名）', 'answer': '谜底：无间道3'}
